index,city,country,date,polarity_score
431,Albuquerque,us,05-07-2020,-0.040261538
432,Tucson,us,05-07-2020,-0.095852101
433,Fresno,us,05-07-2020,0.01892
434,Mesa,us,05-07-2020,0.072017094
435,Atlanta,us,05-07-2020,-0.0053276
436,Sacramento,us,05-07-2020,0.000215642
437,Kansas City,us,05-07-2020,0.049441597
438,Miami,us,05-07-2020,-0.0478319
439,Colorado Springs,us,05-07-2020,-0.082982
440,Raleigh,us,05-07-2020,0.075181667
441,Omaha,us,05-07-2020,-0.2732
442,Long Beach,us,05-07-2020,0.188921311
443,Virginia Beach,us,05-07-2020,0.158056716
444,Minneapolis,us,05-07-2020,0.109828502
445,Oakland,us,05-07-2020,-0.1220855
446,Tampa,us,05-07-2020,0.027818872
447,Arlington,us,05-07-2020,0.045621294
448,Tulsa,us,05-07-2020,0.072686364
449,Bakersfield,us,05-07-2020,0.08048
450,Mumbai,india,06-07-2020,0.1305634
451,Delhi,india,06-07-2020,-0.0282837
452,Bangalore,india,06-07-2020,0.1316425
453,Hyderabad,india,06-07-2020,-0.093753
454,Ahmedabad,india,06-07-2020,-0.047778431
455,Chennai,india,06-07-2020,0.1056947
456,Kolkata,india,06-07-2020,0.202816667
457,Surat,india,06-07-2020,0.0
458,Pune,india,06-07-2020,0.0583498
459,Jaipur,india,06-07-2020,0.310708571
460,Visakhapatnam,india,06-07-2020,0.321644737
461,Nagpur,india,06-07-2020,0.185868182
462,Lucknow,india,06-07-2020,0.147338125
463,Kanpur,india,06-07-2020,0.107157895
464,Thane,india,06-07-2020,0.1295434
465,Bhopal,india,06-07-2020,0.193018182
466,Indore,india,06-07-2020,0.2164
467,Pimpri-Chinchwad,india,06-07-2020,0.0583498
468,Patna,india,06-07-2020,-0.1728375
469,Vadodara,india,06-07-2020,0.19615
470,Toronto,canada,06-07-2020,0.163508
471,Montreal,canada,06-07-2020,-0.04219145
472,Calgary,canada,06-07-2020,0.111575281
473,Ottawa,canada,06-07-2020,0.144985511
474,Edmonton,canada,06-07-2020,0.137412097
475,Mississauga,canada,06-07-2020,0.1701088
476,North York,canada,06-07-2020,0.1602838
477,Winnipeg,canada,06-07-2020,0.1226625
478,Scarborough,canada,06-07-2020,0.437066667
479,Vancouver,canada,06-07-2020,0.230960289
480,Quebec,canada,06-07-2020,0.0
481,Hamilton,canada,06-07-2020,0.058490681
482,Brampton,canada,06-07-2020,0.107958929
483,Surrey,canada,06-07-2020,-0.014878333
484,Laval,canada,06-07-2020,0.0
485,Halifax,canada,06-07-2020,-0.003059524
486,Etobicoke,canada,06-07-2020,0.168623
487,London,canada,06-07-2020,0.3403086
488,Okanagan,canada,06-07-2020,0.317254545
489,Victoria,canada,06-07-2020,0.0
490,New York,us,06-07-2020,-0.1128462
